Unnamed: 0,categories,dates,event_links,event_titles
150.0,"Art,History,Tours",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/conference-house-inside-out,Conference House: Inside Out
151.0,"Nature,History,Tours",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/central-park-tour-heart-of-the-park,Central Park Tour: Heart of the Park
152.0,"Art,Tours",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/art-tour-mutations,High Line Art Tour: Mutations
153.0,"Film, Summer Movies,Movies Under the Stars",09/11/2017,https://www.nycgovparks.org/events/2017/09/11/movies-under-the-stars-star-wars-rogue-one,Movies Under the Stars: Star Wars: Rogue One
154.0,Fitness,09/12/2017,https://www.nycgovparks.org/events/2017/09/12/morning-fitness-at-fort-tryon-park,Morning Fitness at Fort Tryon Park
155.0,"Education,Fitness",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/bryant-park-tai-chi,Bryant Park Tai Chi
156.0,"Fitness,Outdoor Fitness",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/meditation,Meditation
157.0,"Nature,Fitness,Waterfront,Outdoor Fitness,Seniors",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/fitness-walk,Fitness Walk
158.0,"Accessible,Arts & Crafts,Best for Kids",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tiny-tots-stories-and-art,Tiny Tots Stories and Art
159.0,"Accessible,Art,History",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/the-bronx-meets-east-africa,The Bronx Meets East Africa
160.0,"Fitness,Outdoor Fitness",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tai-chi,Tai Chi
161.0,"Art,History,Tours,Seniors",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tour-of-gracie-mansion,Tour of Gracie Mansion
162.0,"Arts & Crafts,Seniors",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/upcycletoartvintage-and-steam-punk,Up-Cycle-to-Art/Vintage and Steam Punk
163.0,"Nature,Volunteer,Seniors",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/biweekly-gardening-club,Bi-weekly Gardening Club
164.0,"Volunteer,It's My Park",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/its-my-park-at-mclaughlin-park,It's My Park at McLaughlin Park
165.0,"Art,History,Tours",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/conference-house-inside-out,Conference House: Inside Out
166.0,"Art,History,Tours,Seniors",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tour-of-gracie-mansion1,Tour of Gracie Mansion
167.0,"Nature,Tours",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/garden-highlights-walk,Garden Highlights Walk
168.0,"Education,Nature,History,Tours,Seniors",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/central-park-tour-northern-forts,Central Park Tour: Northern Forts
169.0,"Accessible,Arts & Crafts,Best for Kids",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/kids-mixed-media-arts,Kids Mixed Media Arts
170.0,"Art,History,Tours,Seniors",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tour-of-gracie-mansion2,Tour of Gracie Mansion
171.0,"Art,Tours",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/gallery-tour,Gallery Tour
