categories,dates,event_links,event_titles
"Accessible,Arts & Crafts,Best for KidsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tiny-tots-stories-and-art,Tiny Tots Stories and Art
"Accessible,Art,HistoryFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/the-bronx-meets-east-africa,The Bronx Meets East Africa
"Fitness,Outdoor FitnessFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tai-chi,Tai Chi
"Art,History,Tours,SeniorsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tour-of-gracie-mansion,Tour of Gracie Mansion
"Arts & Crafts,SeniorsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/upcycletoartvintage-and-steam-punk,Up-Cycle-to-Art/Vintage and Steam Punk
"Nature,Volunteer,SeniorsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/biweekly-gardening-club,Bi-weekly Gardening Club
"Volunteer,It's My ParkFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/its-my-park-at-mclaughlin-park,It's My Park at McLaughlin Park
"Art,History,ToursFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/conference-house-inside-out,Conference House: Inside Out
"Art,History,Tours,SeniorsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tour-of-gracie-mansion1,Tour of Gracie Mansion
"Nature,ToursFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/garden-highlights-walk,Garden Highlights Walk
"Education,Nature,History,Tours,Seniors",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/central-park-tour-northern-forts,Central Park Tour: Northern Forts
"Accessible,Arts & Crafts,Best for KidsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/kids-mixed-media-arts,Kids Mixed Media Arts
"Art,History,Tours,SeniorsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tour-of-gracie-mansion2,Tour of Gracie Mansion
"Art,Tours",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/gallery-tour,Gallery Tour
"Arts & Crafts,Best for KidsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/kids-le-petit-art,Kids Le Petit Art
"Art,History,Tours,SeniorsFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/tour-of-gracie-mansion3,Tour of Gracie Mansion
"Fitness,Waterfront,Outdoor FitnessFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/yoga-in-the-park,Yoga in the Park
"Education,Nature,History,Waterfront,WildlifeFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/little-hell-gate-salt-marsh-tour,Little Hell Gate Salt Marsh Tour
NatureFree,09/12/2017,https://www.nycgovparks.org/events/2017/09/12/rat-prevention-for-community-composting-part-2,Rat Prevention for Community Composting: Part 2
"Education,Fitness,Sports,Outdoor FitnessFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/summer-on-the-hudson-riverside-hiit,Summer on the Hudson: Riverside HIIT
"Dance,Fitness,Waterfront,Outdoor FitnessFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/summer-on-the-hudson-bodyroll-workout-w-viva,Summer on the Hudson: Bodyroll Workout with VIVA!
"Fitness,Outdoor FitnessFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/yoga,CANCELLED: Yoga
FitnessFree,09/12/2017,https://www.nycgovparks.org/events/2017/09/12/nyrr-open-run-brooklyn-bridge-park,NYRR Open Run: Brooklyn Bridge Park
FitnessFree,09/12/2017,https://www.nycgovparks.org/events/2017/09/12/nyrr-open-run-silver-lake-park,NYRR Open Run: Silver Lake Park
"Fitness,Outdoor FitnessFree",09/12/2017,https://www.nycgovparks.org/events/2017/09/12/free-bootcamp-class,Free Bootcamp Class
